property_id,property_name,address,city,state,min_rent,max_rent,availability,primary_image_url,image_urls,special,feature_highlights,exterior_amenities,interior_amenities,pet_policy,managed_by,built_year,min_sqft,max_sqft,photo_count,has_complete_core_info
REM21,"Alta Grandway","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM23,"Alta Sergeant","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM24,"Alta Sunset Heights","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM25,"Altmonte","10925 Beamer, Houston, TX 77089",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50%-75% (Register) {50%=6+mo 75%=12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM26,"Alys Crossing","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM27,"Arc At The Grid","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM28,"Arrive Upper Kirby","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM29,"Ascend At The Parkway","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM30,"Asher At Towne Lake","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM31,"Ashford","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM32,"Ashton On West Dallas","1616 W Dallas St, Houston, TX 77019",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100%-125% (Register) {12+mo vac units over 30days}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM33,"Aspen Park","8811 Boone, Houston, TX 77099",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50% {12mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM34,"Aura Beacon Island","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM35,"Aurora Flats","17700 El Camino Real, Houston, TX 77058",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50% {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM36,"Auxo At Memorial","7777 Katy Frwy, Houston, TX 77024",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM37,"Avalon","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM39,"Avana Eldridge","1415 Eldridge Pkwy, Houston, TX 77077",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50%-100% {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM40,"Avanti Cityside","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM41,"Avenue M","1720 Crestdale Dr, Houston, TX 77080",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% (Register) {12mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM42,"Azure","1111 Durham Dr, Houston, TX 77007",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50% {12+mo Guest Card}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM43,"Bankside Village","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM44,"Bayview","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM45,"Beacon At Buffalo Pointe","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM46,"Belle Spring Branch","2308 Bingle Rd, Houston, TX 77055",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50% {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM47,"Bellrock Memorial","1148 Silber Rd, Houston, TX 77055",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",$1200 {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM49,"Boardwalk Village","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM50,"Boone Manor","5350 Crawford St, Houston, TX 77004",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM51,"Boulevard At Deer Park","401 W Pasadena Blvd, Deer Park, TX 77536",Deer Park,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% (Register) {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM52,"Bowen River Oaks","2020 Westcreek Ln, Houston, TX 77021",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% (Register) {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM53,"Brays Oaks Park","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM54,"Brays Oaks Village","8201 W Bellfort St, Houston, TX 77071",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",® 75% {12mo - 1BR units}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM55,"Breeze At Clear Lake","300 Cyberonics Blvd, Houston, TX 77058",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50% {12mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM56,"Briarstone","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM57,"Brisa Galeria","5331 Beverly Hill, Houston, TX 77056",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50% (Register) {12mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM58,"Brittany Place","2338 W 18th, Houston, TX 77008",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% (Register) {6-12mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM59,"Broadstone Amelia","1610 Campbell Rd, Houston, TX 77055",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% (Register) {13+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM61,"Broadstone Energy Park","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM62,"Broadstone Post Oak","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM63,"Broadstone Toscano","2900 N Braeswood, Houston, TX 77025",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",50%-75% (Escort) {50%=8-11mo 75%=12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM64,"Brookshire Village","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM65,"Cadence Creek At Gosling","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM66,"Camden Downtown","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM67,"Camden Long Meadow Farms","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM68,"Camden Woodmill Creek","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM69,"Campeche Cove","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM70,"Caroline At Memorial","15635 Memorial Dr, Houston, TX 77079",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100%-125% {100%=2BR 125%=1BR 12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM72,"Caroline On Voss","2525 S Voss Rd, Houston, TX 77057",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% {12+mo Guest card}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM73,"Caroline Post Oak","2525 McCue Rd, Houston, TX 77056",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% (Register) {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM74,"Caroline Uptown West","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM75,"Caroline West Gray","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM76,"Casella","77379 map Ph:346/680-9135 Add to favorites Built:2024 Managed By: Greystar Features: Brand New All-Inclusive Senior Apartment Homes Designer One And Two-Bedroom Gourmet Chef Inspired Kitchens Quartz Countertops / Stainless Steel Appliances Elevators Accessible To All Floors Fitness Studio / Yoga Studio / Body Move Room Golf Putting Green/Dog Park w/Wash/Grooming Station Photos View All 1 2 3 4 5 6 7 8 Larger Policies & Amenities Deposit: Fees: App: $25 Renters Insurance Req'd Terms:12-18 mos Office Hrs:m-f8-5 st10-5 sncl Pets:Cats:Yes Dogs:YesNo Max Wt-Breed LtdDog Park on siteDep:500/250 nr feePet Rent: $25/mo School District:Klein Elem:Benfer Int:Strack High:Klein Exterior Amenities: Fitness center, Pool, Gated entrance, Private detached garages($150/mo), Theater room, Door to door trash pickup, Club house, Picnic area, Outdoor Grills, Game/Sport room, Elevators, Dog Park, Community parking garage, Handicap modified units Interior Amenities: W/D machines, Walk-in closets, Garden/large tubs, Walk-in showers, Private patios/balconies, Cable ready, Hi-speed internet, Custom carpet, Non-carpeted flooring, Ice makers, Premium Countertops, Premium Appliances, Self cleaning ovens, Dishwashers, Garbage disposals Agents Only: ID:4541C Units: 163 #Flrs:4 Map#:000A CR:100% {12+mo} Mgmt:Greystar Mgr:Silvia Saucedo Show Corp Info Greystar730 Town & Country Blvd #800, Houston, TX 77024Ph:713/479-8900 Fax: Greystar601 State Street #500, Southlake, TX 76092Ph:469/955-0040 Fax:214/614-4679 Greystar2500 Bee Cave RD #500, Austin, TX 78746Ph:512/474-2664 Fax:512/477-6800 Greystar777 Sonterra Blvd, San Antonio, TX 78258Ph:210/625-5852 Fax:210/479-0515 Greystar10 Glenlake Pkwy #445, Atlanta, GA 30328Ph:404/334-3125 Fax:770/512-4001 Greystar3200 E Camelback Rd #255, Phoenix, AZ 85018Ph:602/522-1200 Fax:602/522-1220 Greystar12 Cadillac Dr #400, Brentwood, TN 37207Ph:931/536-4001 Fax: Greystar521 E Morehead St #130, Charlotte, NC 28202Ph:704/675-7809 Fax:704/332-0405 Greystar4131 Parklake Ave #150, Raleigh, NC 27612Ph:919/789-0897 Fax: Greystar315 E Robinson St, Orlando, FL 32801Ph:407/901-2995 Fax: Greystar4030 Boy Scout Blvd, Suite 800, Tampa, FL 33607Ph:813/321-4819 Fax: Greystar4720 Salisbury Rd, Jacksonville, FL 32256Ph:904/800-5030 Fax: Discounts for: Rent Subsidies: Qualify:Income:1.00 x rent, Credit check, Rent history check Will Consider:Co-signers, 1st time renters Special:2mos free w/12+mo Tags: Availability: 1x1, 2x2 [5/14] Submit changes? Memo A: Memo B: for Agents ONLY Memo C: used as custom HEADLINE embedded into the HTML of your Web Ads for this Apartment Memo D: for Agents ONLY Floorplans Community Special print 2mos free w/12+mo limited time only - subject to approval Type † Price /mo Size (sf) Washer/Dryer Floorplans 1 Bedroom $1,464-1,764 755-837 Fullmachines 1 2 3 View All Larger 2 Bedrooms $1,930-2,324 1,022-1,278 Fullmachines 1 View Larger † Plus electric, water, trash Larger Maps SHOW MAP Casella 18381 Terranova West Dr, Spring, TX 77379 Web Ad eBrochure Web Ad Manager List Title: List #1 FEATURED PROPERTY Casella [Senior Living]18381 Terranova West Dr, Spring, TX 77379",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% {12+mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM77,"Castlewood","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM79,"Catalon At Lago Mar I","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM80,"Catalyst","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM81,"Charleston At Fannin Station","9779 Fannin Railway, Houston, TX 77045",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",100% {12+mo Guest Card}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM82,"Chelsea At Fallbrook","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM83,"Circle At Hermann Park","",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM84,"City Place Montrose","306 McGowen St, Houston, TX 77006",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",$750-100% (Register) {$750=3-12mo 100%=13-15mo}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
REM85,"CityView Lofts I","15 N Chenevert St, Houston, TX 77002",Houston,TX,1500,3500,1x1 to 3x2,/manus-storage/01_73004729.jpg,"/manus-storage/02_d52c97d1.jpg|/manus-storage/03_59f64bbd.jpg|/manus-storage/04_4d430fc9.jpg|/manus-storage/05_4f33e7b4.jpg",® 50%-100%E (Register) {12+mo E=Escort}% commission,Premium amenities,Fitness and pool,Modern finishes,Pet-friendly,Habitat Locators,2020,600,1400,5,true
